"","blockNumber","gas","gasPrice","executionGas","callDataUsage","callDataLength","nonce","to","from","callDataUsageGroups"
"1",15627832,50719,8556029587,50111,608,138,6501,1.24887514601296e+48,6.96213129331172e+47,"608"
"2",15627841,50719,8271282210,50111,608,138,330,1.24887514601296e+48,3.27955793727669e+47,"608"
"3",15627861,50719,8997731930,50111,608,138,128,1.24887514601296e+48,2.41207874679968e+47,"608"
"4",15627862,50719,8723513694,50111,608,138,24,1.24887514601296e+48,1.96897384346193e+47,"608"
"5",15627863,50719,10034596478,50111,608,138,489,1.24887514601296e+48,1.14089828835888e+48,"608"
"6",15627863,50719,9534596478,50111,608,138,14,1.24887514601296e+48,5.23046554815887e+47,"608"
"7",15627899,50719,9635933197,50111,608,138,4,1.24887514601296e+48,6.92418016445425e+47,"608"
"8",15627909,50719,15808835367,50111,608,138,60,1.24887514601296e+48,6.90586254689366e+47,"608"
"9",15627925,50719,12023351662,50111,608,138,75,1.24887514601296e+48,9.43151923180162e+47,"608"
"10",15627925,50719,12023351662,50111,608,138,25,1.24887514601296e+48,1.96897384346193e+47,"608"
"11",15627929,50719,11326919420,50111,608,138,46,1.24887514601296e+48,1.07043408851891e+48,"608"
"12",15627931,50719,10234013206,50111,608,138,0,1.24887514601296e+48,1.2825168254329e+48,"608"
