"","blockNumber","gas","gasPrice","executionGas","callDataUsage","callDataLength","nonce","to","from","callDataUsageGroups"
"1",15627832,21000,12684754705,21000,0,2,377,1.16370891356223e+48,6.6565311246482e+47,"0"
"2",15627832,21000,12024879396,21000,0,2,0,1.09953150294744e+48,6.52162125246648e+47,"0"
"3",15627832,21000,11049029587,21000,0,2,195475,9.7606406544546e+46,1.01923140896306e+48,"0"
"4",15627832,21000,1.053e+10,21000,0,2,0,6.27904344520535e+47,8.43754746877558e+47,"0"
"5",15627832,21000,1.053e+10,21000,0,2,0,6.27904344520535e+47,6.79892378799826e+47,"0"
"6",15627832,21000,9446061562,21000,0,2,549,9.78243933241928e+47,9.84473927106437e+46,"0"
"7",15627832,21000,9046029587,21000,0,2,42,1.7520522213259e+46,1.29680250077454e+48,"0"
"8",15627832,21000,8546029587,21000,0,2,0,1.09609604136197e+48,8.47011058738616e+47,"0"
"9",15627832,21000,8546029587,21000,0,2,80,1.22323326256698e+48,1.26873233493335e+47,"0"
"10",15627832,21000,8546029587,21000,0,2,223,1.02395650114145e+48,4.91025615782413e+47,"0"
"11",15627832,21000,8546029587,21000,0,2,3,8.94427584859837e+47,3.84049020745844e+47,"0"
"12",15627832,21000,8546029587,21000,0,2,831,2.98032777025559e+47,1.34782280293622e+48,"0"
"13",15627832,21000,8546029587,21000,0,2,139,5.67435869073365e+47,6.95086428589716e+47,"0"
"14",15627832,21000,8546029587,21000,0,2,0,1.05329377691393e+48,4.94781602266658e+47,"0"
"15",15627832,21000,8546029587,21000,0,2,7,4.81004120229019e+47,5.20186375451103e+46,"0"
"16",15627832,21000,8546029587,21000,0,2,1333,2.98032777025559e+47,7.62372137244478e+47,"0"
"17",15627832,21000,8128420782,21000,0,2,24,1.06421739288483e+48,8.368647662774e+47,"0"
"18",15627832,21000,7914903026,21000,0,2,1,1.2084699633368e+48,6.58352929991509e+47,"0"
"19",15627832,21000,7435830446,21000,0,2,6347,5.25985620916743e+47,8.49318688036224e+47,"0"
"20",15627832,21000,7.28e+09,21000,0,2,10,2.35117160975312e+47,7.94354856285468e+47,"0"
"21",15627832,21000,7225296389,21000,0,2,2,1.05319739627848e+48,2.67770596999504e+47,"0"
"22",15627832,21000,7058891994,21000,0,2,2291,1.87195938111946e+46,9.94828284000476e+47,"0"
"23",15627833,21000,41196944431,21000,0,2,5165,5.69292706282109e+47,5.69292706282109e+47,"0"
"24",15627833,21000,16889626549,21000,0,2,12392,1.33940511857812e+48,1.33940511857812e+48,"0"
"25",15627833,21000,11445300698,21000,0,2,251465,1.04526398051773e+47,1.20495810158457e+47,"0"
"26",15627833,21000,1.008e+10,21000,0,2,36,1.48394567801762e+45,7.5619830176707e+47,"0"
"27",15627833,21000,10017466597,21000,0,2,7,6.18671916096315e+47,3.67621067264491e+47,"0"
"28",15627833,21000,9942300698,21000,0,2,17212,9.26278550222122e+47,1.42519802702157e+48,"0"
"29",15627833,21000,9442300698,21000,0,2,119,1.41934169623423e+48,7.23234179178018e+46,"0"
"30",15627833,21000,9442300698,21000,0,2,469147,1.06002105462222e+48,1.04603461962748e+48,"0"
"31",15627833,21000,9442300698,21000,0,2,1783196,7.0076696939457e+47,4.57971639416164e+47,"0"
"32",15627833,21000,9e+09,21000,0,2,0,4.47334665234184e+47,6.78417082439728e+47,"0"
"33",15627833,21000,8985300698,21000,0,2,57297,1.32889516405095e+48,1.18606457232263e+48,"0"
"34",15627833,21000,7642300698,21000,0,2,5079,6.19582794707784e+47,6.19582794707784e+47,"0"
"35",15627834,21000,4.5e+10,21000,0,2,0,1.23560014691045e+48,3.62348916232391e+47,"0"
"36",15627834,21000,19036819037,21000,0,2,10943,7.17481606421081e+47,7.17481606421081e+47,"0"
"37",15627834,21000,16741028868,21000,0,2,10944,7.17481606421081e+47,7.17481606421081e+47,"0"
"38",15627834,21000,12370527493,21000,0,2,1,1.16370891356223e+48,6.82296665235322e+46,"0"
"39",15627834,21000,10948915429,21000,0,2,251466,2.72431100861625e+45,1.20495810158457e+47,"0"
"40",15627834,21000,10520040271,21000,0,2,52,1.55613697073329e+47,7.26193163231034e+47,"0"
"41",15627834,21000,1e+10,21000,0,2,16,5.42665291314682e+47,1.27498200344729e+48,"0"
"42",15627834,21000,1e+10,21000,0,2,15,1.07373279965005e+48,9.17407972489124e+47,"0"
"43",15627834,21000,9725915429,21000,0,2,7,5.70355598524117e+47,1.01836934840672e+48,"0"
"44",15627834,21000,8995915429,21000,0,2,12,8.8655414074553e+47,8.64038360562966e+47,"0"
"45",15627834,21000,8945915429,21000,0,2,52370,5.05521956113237e+47,7.08480527413187e+47,"0"
"46",15627834,21000,8945915429,21000,0,2,346915,2.06091902459436e+47,6.81720862102516e+47,"0"
"47",15627834,21000,8945915429,21000,0,2,1211342,1.45436091954587e+48,8.54424926044469e+47,"0"
"48",15627834,21000,8945915429,21000,0,2,1783197,6.15583511163553e+47,4.57971639416164e+47,"0"
"49",15627834,21000,8945915429,21000,0,2,8804460,1.42493295538442e+48,3.47341241061203e+47,"0"
"50",15627834,21000,8945915429,21000,0,2,1783198,8.30867307454851e+47,4.57971639416164e+47,"0"
"51",15627834,21000,8945915429,21000,0,2,1783199,1.44139148423381e+48,4.57971639416164e+47,"0"
"52",15627834,21000,8945915429,21000,0,2,469148,1.10147335541382e+48,1.04603461962748e+48,"0"
"53",15627834,21000,8945915429,21000,0,2,2759931,3.88415694167662e+47,2.19704307174702e+47,"0"
"54",15627834,21000,8945915429,21000,0,2,2759932,9.90205020152587e+47,2.19704307174702e+47,"0"
"55",15627834,21000,8915585536,21000,0,2,40796,1.08858871197154e+48,8.62529169470061e+47,"0"
"56",15627834,21000,8488915429,21000,0,2,113032,1.27874826473511e+48,5.50943179065089e+47,"0"
"57",15627834,21000,8445915429,21000,0,2,87,1.21773513848562e+48,1.66009972150802e+47,"0"
"58",15627834,21000,8445915429,21000,0,2,453,1.29323628518173e+48,5.55873576961577e+47,"0"
"59",15627834,21000,8445915429,21000,0,2,4,3.7935497543335e+47,6.34428292432078e+47,"0"
"60",15627834,21000,8445915429,21000,0,2,14,1.01149176569519e+48,9.22916423667287e+47,"0"
"61",15627834,21000,8445915429,21000,0,2,10,8.80159907632951e+47,1.16505402526224e+48,"0"
"62",15627834,21000,8445915429,21000,0,2,4,9.58647094053182e+47,3.31022144517534e+47,"0"
"63",15627834,21000,8445915429,21000,0,2,3,4.51262248475219e+47,5.11134611774242e+45,"0"
"64",15627834,21000,8445915429,21000,0,2,456,8.94427584859837e+47,6.43067944927243e+47,"0"
"65",15627834,21000,8445915429,21000,0,2,401,9.599032861232e+47,1.78309310406384e+47,"0"
"66",15627834,21000,8445915429,21000,0,2,3,9.8787880732174e+47,2.3650454933706e+47,"0"
"67",15627834,21000,8445915429,21000,0,2,4,7.59623323341576e+47,3.14278917730015e+47,"0"
"68",15627834,21000,8445915429,21000,0,2,571,8.85220041799311e+46,7.33032154366336e+47,"0"
"69",15627834,21000,7945915429,21000,0,2,100,1.4109321964182e+48,3.42325857247535e+47,"0"
"70",15627834,21000,7945915429,21000,0,2,159,1.22299268873678e+48,1.02985859903122e+48,"0"
"71",15627834,21000,7233498542,21000,0,2,15,8.63767302707073e+47,3.95455204007072e+47,"0"
"72",15627834,21000,7e+09,21000,0,2,15,8.92300668498927e+47,1.34455304632214e+48,"0"
"73",15627834,21000,7e+09,21000,0,2,165,2.63030964481076e+47,9.28765564515807e+47,"0"
"74",15627834,21000,7e+09,21000,0,2,373,1.1021995447514e+48,1.44143581387789e+48,"0"
"75",15627835,21000,19524512574,21000,0,2,26,3.39535218910965e+47,1.55613697073329e+47,"0"
"76",15627835,21000,19927887667,21000,0,2,27,3.40274380807449e+44,1.55613697073329e+47,"0"
