p1_speed,p2_speed,p1_winning%_over_total,p2_winning%_over_total,winning_gap(p1 over p2)
"(0.0, 0.4)","(0.2, 0.6)",41.6293,58.3707,-16.7415
"(0.0, 0.4)","(0.25, 0.65)",41.3687,58.6313,-17.2627
"(0.0, 0.4)","(0.3, 0.7)",41.2516,58.7484,-17.4968
"(0.0, 0.4)","(0.35, 0.75)",42.1195,57.8805,-15.7610
"(0.0, 0.4)","(0.4, 0.8)",46.1375,53.8625,-7.7249
"(0.05, 0.45)","(0.2, 0.6)",41.8495,58.1505,-16.3009
"(0.05, 0.45)","(0.25, 0.65)",41.7700,58.2300,-16.4600
"(0.05, 0.45)","(0.3, 0.7)",41.4886,58.5114,-17.0228
"(0.05, 0.45)","(0.35, 0.75)",42.1723,57.8277,-15.6553
"(0.05, 0.45)","(0.4, 0.8)",46.1007,53.8993,-7.7987
"(0.1, 0.5)","(0.2, 0.6)",42.5808,57.4192,-14.8384
"(0.1, 0.5)","(0.25, 0.65)",42.1013,57.8987,-15.7975
"(0.1, 0.5)","(0.3, 0.7)",41.7378,58.2622,-16.5243
"(0.1, 0.5)","(0.35, 0.75)",42.6935,57.3065,-14.6130
"(0.1, 0.5)","(0.4, 0.8)",46.3561,53.6439,-7.2878
"(0.15, 0.55)","(0.2, 0.6)",42.6016,57.3984,-14.7968
"(0.15, 0.55)","(0.25, 0.65)",42.4234,57.5766,-15.1531
"(0.15, 0.55)","(0.3, 0.7)",42.2543,57.7457,-15.4914
"(0.15, 0.55)","(0.35, 0.75)",43.0155,56.9845,-13.9690
"(0.15, 0.55)","(0.4, 0.8)",46.3985,53.6015,-7.2030
"(0.2, 0.6)","(0.2, 0.6)",43.4665,56.5335,-13.0669
"(0.2, 0.6)","(0.25, 0.65)",42.8461,57.1539,-14.3078
"(0.2, 0.6)","(0.3, 0.7)",42.6053,57.3947,-14.7894
"(0.2, 0.6)","(0.35, 0.75)",43.4601,56.5399,-13.0798
"(0.2, 0.6)","(0.4, 0.8)",46.9619,53.0381,-6.0762
