p1_speed,p2_speed,p1_winning%_over_total,p2_winning%_over_total,winning_gap(p1 over p2)
"(0.0, 0.4)","(0.2, 0.6)",47.4388,52.5612,-5.1225
"(0.0, 0.4)","(0.25, 0.65)",47.1615,52.8385,-5.6771
"(0.0, 0.4)","(0.3, 0.7)",46.8296,53.1704,-6.3408
"(0.0, 0.4)","(0.35, 0.75)",48.0243,51.9757,-3.9513
"(0.0, 0.4)","(0.4, 0.8)",51.4242,48.5758,2.8484
"(0.05, 0.45)","(0.2, 0.6)",47.5359,52.4641,-4.9282
"(0.05, 0.45)","(0.25, 0.65)",47.0457,52.9543,-5.9086
"(0.05, 0.45)","(0.3, 0.7)",47.0202,52.9798,-5.9595
"(0.05, 0.45)","(0.35, 0.75)",48.2283,51.7717,-3.5434
"(0.05, 0.45)","(0.4, 0.8)",51.3763,48.6237,2.7527
"(0.1, 0.5)","(0.2, 0.6)",47.9027,52.0973,-4.1945
"(0.1, 0.5)","(0.25, 0.65)",47.5166,52.4834,-4.9668
"(0.1, 0.5)","(0.3, 0.7)",47.1467,52.8533,-5.7066
"(0.1, 0.5)","(0.35, 0.75)",48.0276,51.9724,-3.9448
"(0.1, 0.5)","(0.4, 0.8)",51.4428,48.5572,2.8856
"(0.15, 0.55)","(0.2, 0.6)",48.0345,51.9655,-3.9310
"(0.15, 0.55)","(0.25, 0.65)",47.7348,52.2652,-4.5304
"(0.15, 0.55)","(0.3, 0.7)",47.3913,52.6087,-5.2175
"(0.15, 0.55)","(0.35, 0.75)",48.3608,51.6392,-3.2784
"(0.15, 0.55)","(0.4, 0.8)",51.5383,48.4617,3.0766
"(0.2, 0.6)","(0.2, 0.6)",48.5325,51.4675,-2.9351
"(0.2, 0.6)","(0.25, 0.65)",48.2349,51.7651,-3.5302
"(0.2, 0.6)","(0.3, 0.7)",47.9144,52.0856,-4.1713
"(0.2, 0.6)","(0.35, 0.75)",48.5860,51.4140,-2.8280
"(0.2, 0.6)","(0.4, 0.8)",51.6271,48.3729,3.2542
